id,gender,birthday,Age,abonoment_type,visit_per_week,days_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,drink_abo,fav_drink,personal_training,name_personal_trainer,uses_sauna,age_group
908,Female,2012-03-22,12,Standard,5,"Fri, Mon, Sun, Thu, Wed",False,,10:25:00,12:18:00,113,False,,False,,True,18-25
917,Male,2011-06-28,13,Standard,2,"Thu, Wed",False,,19:29:00,21:02:00,93,True,coconut_pineapple,False,,True,18-25
921,Female,2011-02-04,13,Premium,1,Tue,True,"BodyPump, Pilates",12:39:00,13:13:00,34,False,,False,,False,18-25
925,Female,2011-08-16,13,Premium,3,"Sat, Thu, Wed",True,"BodyPump, Spinning, XCore",13:47:00,15:04:00,77,True,"lemon, berry_boost",False,,False,18-25
936,Male,2010-12-06,13,Premium,3,"Mon, Thu, Wed",True,"BodyPump, LesMiles, Pilates",15:31:00,16:07:00,36,True,orange,False,,True,18-25
956,Female,2010-08-27,14,Premium,2,"Sat, Sun",True,Kickboxen,14:18:00,15:13:00,55,True,"lemon, coconut_pineapple",False,,True,18-25
958,Female,2010-03-25,14,Standard,3,"Fri, Sun, Thu",True,Yoga,13:59:00,16:41:00,162,True,lemon,False,,True,18-25
963,Male,2011-03-17,13,Premium,2,"Fri, Tue",True,XCore,09:23:00,12:02:00,159,False,,False,,True,18-25
965,Male,2009-11-01,14,Standard,1,Mon,True,"Yoga, BodyBalance, XCore",11:56:00,13:37:00,101,False,,False,,False,18-25
968,Female,2011-05-25,13,Standard,3,"Mon, Tue, Wed",False,,13:36:00,14:08:00,32,False,,True,Mike,False,18-25
